sim_rmse,sim_r,participant,alpha
0.055487242,0.181948461,46vpz,0.000120251
0.055645425,0.166130331,46vpz,7.99E-05
0.05622467,0.108921709,46vpz,0.016762482
0.051210358,0.420017437,46vpz,0.002609325
0.0547395,0.242876,46vpz,0.002872137
0.054286005,0.272974943,46vpz,0.057957258
0.053257649,0.330525255,46vpz,0.000690888
0.055107637,0.215149026,46vpz,0.002873485
0.055296938,0.199312466,46vpz,0.039101385
0.050862519,0.433087291,46vpz,0.001304394
0.056142014,0.153613449,46vpz,0.019366624
0.056275692,0.089700789,46vpz,0.04487665
0.056407057,0.035548429,46vpz,0.00112393
0.050646092,0.44100287,46vpz,0.0493062
0.05516173,0.211163898,46vpz,0
0.0548139,0.237549939,46vpz,0.013995944
0.054094472,0.285109818,46vpz,0.050815884
0.053405136,0.323018581,46vpz,0.07129704
0.049603807,0.47677594,46vpz,0.000851531
0.055065777,0.218735634,46vpz,0.001234885
0.054532354,0.257092158,46vpz,0.0002074
0.052211794,0.379660749,46vpz,0.000320156
0.054941592,0.228111055,46vpz,0.002968152
0.053038007,0.341438115,46vpz,0.044471924
0.053504162,0.317891907,46vpz,0.000791841
0.054056154,0.286943602,46vpz,0.1
0.05538815,0.19150764,46vpz,2.83E-05
0.052423842,0.370028921,46vpz,0.000953906
0.053634699,0.310833373,46vpz,0.003515934
0.054256886,0.274786225,46vpz,0.02214145
0.053947447,0.293420913,46vpz,0.000149134
0.056052983,0.115488996,46vpz,0.001542912
0.055948842,0.130220265,46vpz,0.001460023
0.053044599,0.341115301,46vpz,0.002078935
0.055215379,0.206314308,46vpz,0.053361794
0.054935851,0.228529503,46vpz,0.000154513
0.054036536,0.288347169,46vpz,0.000641428
