,subj,rating,zScored_ratings,rt,raw_image_name,sliderStart,trial,block,image,pair,sourceImageA,sourceImageB,morphPercent,imageInd
626,46vpz,0.858,-1.3727393545756126,111.1,images/experiment/pair_5_92_out_tensor(0.3333).png,114.0,56,1,5_92_0.33,5_92_,5,92,0.33,13
10226,46vpz,0.95,0.15723005823333083,32.83,images/experiment/101_start.png,389.0,57,1,101,101,101,,,6
1026,46vpz,0.794,-2.4370659026166166,20.24,images/experiment/pair_5_101_out_tensor(0.3333).png,478.0,58,1,5_101_0.33,5_101_,5,101,0.33,16
8626,46vpz,0.912,-0.47471382966601533,25.97,images/experiment/pair_37_41_out_tensor(0.6667).png,250.0,59,1,37_41_0.67,37_41_,37,41,0.67,21
5827,46vpz,0.974,0.5563525137487074,28.84,images/experiment/pair_64_57_out_tensor(0.5000).png,136.0,196,2,64_57_0.5,64_57_,64,57,0.5,38
3627,46vpz,0.954,0.22375046748589358,19.64,images/experiment/pair_64_41_out_tensor(0.6667).png,215.0,197,2,64_41_0.67,64_41_,64,41,0.67,36
7627,46vpz,0.912,-0.47471382966601533,15.59,images/experiment/5_start.png,372.0,198,2,5,5,5,,,0
9427,46vpz,0.816,-2.0712036517275214,13.28,images/experiment/pair_37_92_out_tensor(0.6667).png,129.0,199,2,37_92_0.67,37_92_,37,92,0.67,30
2827,46vpz,0.998,0.9554749692640839,14.45,images/experiment/pair_64_57_out_tensor(0.3333).png,188.0,200,2,64_57_0.33,64_57_,64,57,0.33,37
6427,46vpz,0.888,-0.8738362851813919,12.32,images/experiment/pair_64_41_out_tensor(0.5000).png,172.0,201,2,64_41_0.5,64_41_,64,41,0.5,35
8827,46vpz,1.0,0.9887351738903652,13.74,images/experiment/37_start.png,299.0,202,2,37,37,37,,,1
7027,46vpz,0.896,-0.7407954666762664,17.09,images/experiment/92_start.png,457.0,203,2,92,92,92,,,5
427,46vpz,0.978,0.6228729230012702,14.79,images/experiment/pair_37_57_out_tensor(0.3333).png,180.0,204,2,37_57_0.33,37_57_,37,57,0.33,22
2627,46vpz,0.998,0.9554749692640839,17.52,images/experiment/pair_37_64_out_tensor(0.5000).png,474.0,205,2,37_64_0.5,37_64_,37,64,0.5,26
